DATE,TOTAL BILLS,INVOICE RANGE,TOTAL TAXABLE AMOUNT,TOTAL TAX AMOUNT,Taxable Amount 0%,Taxable Amount 5%,Taxable Amount 12%,Taxable Amount 18%,TOTAL AMOUNT,CASH,CARD,OTHER MODES,AMOUNT RETURN,AMOUNT RETURN TO CREDIT,TOTAL ITEMS SOLD,TOTAL QTY,RETURNED ITEMS COUNT,RETURNED QTY
04-Feb-20,41,"A/1920/12271, A/1920/12309",0,0,28832,0,0,0,28832,6650,22379,2439,2636,0,130,171,2,2
03-Feb-20,35,"A/1920/12236, A/1920/12270",0,0,46594.75,0,0,0,46595,30120,15651,2895,2071,0,126,167,0,0
02-Feb-20,76,"A/1920/12161, A/1920/12235",0,0,65233.61,0,0,0,65234,14076,43438,9290,1570,0,308,441,1,1
01-Feb-20,55,"A/1920/12106, A/1920/12160",0,0,72692,0,0,0,72692,14875,56527,2445,1155,0,289,409,0,0
31-Jan-20,37,"A/1920/12072, A/1920/12105",0,0,23290,0,0,0,23290,10755,13310,1955,2730,0,186,266,3,4
30-Jan-20,43,"A/1920/12030, A/1920/12071",0,0,53199,0,0,0,53199,5175,27406,21448,830,0,131,387,1,1
29-Jan-20,28,"A/1920/12002, A/1920/12029",0,0,15012,0,0,0,15012,9220,5830,2082,2120,0,78,125,0,0
28-Jan-20,34,"A/1920/11968, A/1920/12001",0,0,33000,0,0,0,33000,15980,9990,10965,3935,0,161,292,0,0
27-Jan-20,42,"A/1920/11926, A/1920/11967",0,0,48483,0,0,0,48483,14370,22024,14610,2521,0,154,247,0,0
26-Jan-20,50,"A/1920/11876, A/1920/11925",0,0,55095,0,0,0,55095,7920,32973,16418,2216,0,214,325,0,0
25-Jan-20,61,"A/1920/11816, A/1920/11875",0,0,48584,0,0,0,48584,9325,39660,1289,1690,0,255,320,1,1
24-Jan-20,40,"A/1920/11776, A/1920/11815",0,0,38156,0,0,0,38156,25380,9750,5315,2289,0,147,213,0,0
23-Jan-20,36,"A/1920/11741, A/1920/11775",0,0,14542,0,0,0,14542,10845,3800,892,995,0,95,131,1,1
22-Jan-20,33,"A/1920/11708, A/1920/11740",0,0,18437,0,0,0,18437,5395,8255,5655,868,0,108,156,0,0
21-Jan-20,30,"A/1920/11678, A/1920/11707",0,0,12735,0,0,0,12735,10055,5730,670,3720,0,95,114,0,0
20-Jan-20,48,"A/1920/11630, A/1920/11677",0,0,25700,0,0,0,25700,18720,10010,1225,4255,0,112,180,0,0
19-Jan-20,49,"A/1920/11582, A/1920/11629",0,0,65825,0,0,0,65825,6960,47190,13115,1440,0,182,219,1,1
18-Jan-20,40,"A/1920/11543, A/1920/11581",0,0,29070,0,0,0,29070,4030,23955,2050,965,0,137,174,1,1
17-Jan-20,32,"A/1920/11514, A/1920/11542",0,0,34950,0,0,0,34950,20590,16185,440,2265,0,104,141,3,3
14-Jan-20,28,"A/1920/11487, A/1920/11513",0,0,21354,0,0,0,21354,18900,305,5700,3551,0,98,140,1,1
13-Jan-20,44,"A/1920/11443, A/1920/11486",0,0,24619,0,0,0,24619,14254,10630,1060,1325,0,150,211,0,0
12-Jan-20,46,"A/1920/11397, A/1920/11442",0,0,89327.5,0,0,0,89328,14290,38510,37333,805,0,197,433,0,0
11-Jan-20,54,"A/1920/11343, A/1920/11396",0,0,58676.4,0,0,0,58676,12436,46140,2150,2050,0,174,278,0,0
10-Jan-20,32,"A/1920/11312, A/1920/11342",0,0,29693,0,0,0,29693,13928,12850,3320,405,0,141,236,1,1
09-Jan-20,24,"A/1920/11288, A/1920/11311",0,0,18820,0,0,0,18820,6455,10195,2770,600,0,107,133,0,0
08-Jan-20,37,"A/1920/11252, A/1920/11287",0,0,16455,0,0,0,16455,9495,8645,1450,3135,0,113,131,1,2
07-Jan-20,47,"A/1920/11205, A/1920/11251",0,0,42338,0,0,0,42338,33485,10559,3639,5345,0,192,310,0,0
06-Jan-20,42,"A/1920/11163, A/1920/11204",0,0,50315.5,0,0,0,50316,23050,21745,7540,2019,0,262,435,0,0
05-Jan-20,65,"A/1920/11099, A/1920/11162",0,0,65446,0,0,0,65446,15454,35183,16135,1326,0,306,429,1,1
04-Jan-20,38,"A/1920/11061, A/1920/11098",0,0,28630,0,0,0,28630,13855,16260,2110,3595,0,178,227,0,0
03-Jan-20,37,"A/1920/11025, A/1920/11060",0,0,19959,0,0,0,19959,8280,12619,790,1730,0,143,189,1,1
02-Jan-20,37,"A/1920/10989, A/1920/11024",0,0,30368.05,0,0,0,30368,19950,12145,1780,3507,0,126,178,2,2
01-Jan-20,26,"A/1920/10963, A/1920/10988",0,0,13935,0,0,0,13935,2805,10660,1190,720,0,71,110,0,0
31-Dec-19,25,"A/1920/10938, A/1920/10962",0,0,21435,0,0,0,21435,15645,7825,100,2135,0,102,125,0,0
30-Dec-19,25,"A/1920/10913, A/1920/10937",0,0,28275,0,0,0,28275,10270,15905,3840,1740,0,128,219,0,0
