NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Single Polished Rice 1kg,Prakruthivanam,1 pc,Grocery & Staples,Grains,5,2662,714,228171.43,239580,90,90,75
Andu Korralu (Browntop) 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,1659,1149,237000,248850,150,150,120
Black Gram Without Husk 500g,Prakruthivanam,1 pc,Miscellaneous,Miscellaneous,5,72,33,7542.86,7920,110,110,82.01
Red Gram Split 1kg,Prakruthivanam,1 pc,Grocery & Staples,Dals Without Husk,5,771,421,132171.43,138780,180,180,120
Sambhava Wheat Rawa 500g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,64,48,7314.29,7680,120,120,96
Sambhava Wheat Flour 1kg,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,33,28,6600,6930,210,210,168
Timbaktu Organic Sama Pongal Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,62,55,3247.62,3410,55,55,41.25
Dhaniyalu 250g,Prakruthivanam,1 pkt,Miscellaneous,Miscellaneous,5,368,287,17523.81,18400,40,50,31.5
Timbaktu Organic Korra Upma Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,42,39,2600,2730,65,65,48.75
Pure&Sure Organic Veg Upma 250g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,18,10,8,1101.69,1300,130,130,97.49
Pure&Sure Organic Ragi Dosa Mix 250g,Pure&Sure,1 kg,Miscellaneous,Miscellaneous,12,17,15,1214.29,1360,80,80,60
Palm Sugar 250g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,0,71,51,9940,9940,140,140,112
Surabhi Cow Ghee 500ml,Surabhi Healthy Life,1 btl,Miscellaneous,Miscellaneous,12,2,2,1776.79,1990,995,995,829.75
Red Rice Poha 250g,Prakruthivanam,1 pkt,Custom,Custom,5,69,39,1971.43,2070,30,30,23
Ragulu 500g,Prakruthivanam,1 pkt,MILLETS,Miscellaneous,5,450,271,12857.14,13500,30,30,21
Timbaktu Organic Peanut Peda 150g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,18,346,282,23457.63,27680,80,80,60
Rock Salt (GRANUALS) 1kg,Arogya Rahasya,1 kg,Masala & Spices,Powder,0,981,647,63765,63765,65,65,50
Shampoo -200 Ml -pvs,Prakruthivanam,1 pc,Personal Care,Shampoo,18,2987,2302,354389.83,418180,140,140,97.94
